,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
220,novel_object_8_1_7,bird_black,959.6033187382855,0.0,True
221,novel_object_8_1_7,bird_blue,1472.49475979805,0.0,True
222,novel_object_8_1_7,bird_red,903.4596403390169,0.0,True
223,novel_object_8_1_7,bird_white,692.8728213608265,0.0,True
224,novel_object_8_1_7,bird_yellow,1043.3232798054814,0.0,True
225,novel_object_8_1_7,tnt,888.0889023542404,0.0,True
226,novel_object_8_1_7,platform,874.732258297503,0.0,True
227,novel_object_8_1_7,ice,1007.8293131422251,0.0,True
228,novel_object_8_1_7,pig,1024.5744061488658,0.0,True
229,novel_object_8_1_7,stone,1005.7919131703675,0.0,True
230,novel_object_8_1_7,wood,971.9966076035053,0.0,True
231,novel_object_9_1_7,bird_black,970.4378517079167,0.0,True
232,novel_object_9_1_7,bird_blue,956.0389910936356,0.0,True
233,novel_object_9_1_7,bird_red,988.1152530610561,0.0,True
234,novel_object_9_1_7,bird_white,178.85099875926971,0.9999271830909898,False
235,novel_object_9_1_7,bird_yellow,994.3107779528946,0.0,True
236,novel_object_9_1_7,tnt,746.1979860067368,0.0,True
237,novel_object_9_1_7,platform,1452.2146864235401,0.0,True
238,novel_object_9_1_7,ice,996.3439741972834,0.0,True
239,novel_object_9_1_7,pig,1005.1056581437588,0.0,True
240,novel_object_9_1_7,stone,974.0303158983588,0.0,True
241,novel_object_9_1_7,wood,986.0402146149427,0.0,True
242,novel_object_10_1_7,bird_black,976.2244794447906,0.0,True
243,novel_object_10_1_7,bird_blue,1022.7528659254313,0.0,True
244,novel_object_10_1_7,bird_red,921.8422633558512,0.0,True
245,novel_object_10_1_7,bird_white,859.5647881031036,0.0,True
246,novel_object_10_1_7,bird_yellow,924.062039649114,0.0,True
247,novel_object_10_1_7,tnt,908.0209881588817,0.0,True
248,novel_object_10_1_7,platform,243.9209443628788,0.6959799196411454,False
249,novel_object_10_1_7,ice,1017.6141824554652,0.0,True
250,novel_object_10_1_7,pig,991.1860945150256,0.0,True
251,novel_object_10_1_7,stone,999.8694140613079,0.0,True
252,novel_object_10_1_7,wood,1003.8388078566641,0.0,True
253,novel_object_11_1_7,bird_black,976.2854728605598,0.0,True
254,novel_object_11_1_7,bird_blue,1299.0471687316895,0.0,True
255,novel_object_11_1_7,bird_red,1024.7223336324096,0.0,True
256,novel_object_11_1_7,bird_white,858.3563939929008,0.0,True
257,novel_object_11_1_7,bird_yellow,988.1799565851688,0.0,True
258,novel_object_11_1_7,tnt,803.1367077380419,0.0,True
259,novel_object_11_1_7,platform,439.7712014913559,7.1307404425624554e-12,True
260,novel_object_11_1_7,ice,1002.1666451692581,0.0,True
261,novel_object_11_1_7,pig,957.0371186956763,0.0,True
262,novel_object_11_1_7,stone,983.4283589161932,0.0,True
263,novel_object_11_1_7,wood,994.1868866663426,0.0,True
264,novel_object_0_1_8,bird_black,1032.412334388122,0.0,True
265,novel_object_0_1_8,bird_blue,1467.9750445000827,0.0,True
266,novel_object_0_1_8,bird_red,1006.5480142980814,0.0,True
267,novel_object_0_1_8,bird_white,1168.112762246281,0.0,True
268,novel_object_0_1_8,bird_yellow,1047.7929436415434,0.0,True
269,novel_object_0_1_8,tnt,930.2673700861633,0.0,True
270,novel_object_0_1_8,platform,1245.2633020579815,0.0,True
271,novel_object_0_1_8,ice,1037.458633840084,0.0,True
272,novel_object_0_1_8,pig,942.8680846292991,0.0,True
273,novel_object_0_1_8,stone,1142.8749190308154,0.0,True
274,novel_object_0_1_8,wood,1071.7988758981228,0.0,True
275,novel_object_1_1_8,bird_black,982.9842093503103,0.0,True
276,novel_object_1_1_8,bird_blue,1042.0042644673958,0.0,True
277,novel_object_1_1_8,bird_red,848.5124707436189,0.0,True
278,novel_object_1_1_8,bird_white,1038.498743409291,0.0,True
279,novel_object_1_1_8,bird_yellow,1109.9904700033367,0.0,True
280,novel_object_1_1_8,tnt,992.3216228187084,0.0,True
281,novel_object_1_1_8,platform,1175.6506016487256,0.0,True
282,novel_object_1_1_8,ice,1020.3547363722173,0.0,True
283,novel_object_1_1_8,pig,996.8879632595927,0.0,True
284,novel_object_1_1_8,stone,899.3197462391108,0.0,True
285,novel_object_1_1_8,wood,976.1172696043504,0.0,True
286,novel_object_2_1_8,bird_black,994.7242781650275,0.0,True
287,novel_object_2_1_8,bird_blue,877.1317794187926,0.0,True
288,novel_object_2_1_8,bird_red,1023.7948030862026,0.0,True
289,novel_object_2_1_8,bird_white,1275.4352604150772,0.0,True
290,novel_object_2_1_8,bird_yellow,1118.799714256078,0.0,True
